Hash,File,Operator,Start,End,StartLine,EndLine,Original,Replacement,Status,Time(ms)
m711d1e6e,/home/farin/SolMutator/contracts/checkedExample.sol,FVR,330,358,15,15,"function increment() public ","function increment() external ",live,1156
ma4976085,/home/farin/SolMutator/contracts/checkedExample.sol,FVR,330,358,15,15,"function increment() public ","function increment() internal ",live,1170
md5af0de6,/home/farin/SolMutator/contracts/checkedExample.sol,FVR,330,358,15,15,"function increment() public ","function increment() private ",live,1166
m1e25cf73,/home/farin/SolMutator/contracts/checkedExample.sol,ILR,116,117,5,5,0,1,live,1169
mf179cff5,/home/farin/SolMutator/contracts/checkedExample.sol,ILR,214,215,8,8,1,0,live,1194
md18a9d1c,/home/farin/SolMutator/contracts/checkedExample.sol,ILR,214,215,8,8,1,2,live,1237
m148a4aaa,/home/farin/SolMutator/contracts/checkedExample.sol,ILR,280,281,13,13,0,1,live,1324
mcc1c0438,/home/farin/SolMutator/contracts/checkedExample.sol,ILR,402,403,17,17,1,0,live,1190
ma6b159f3,/home/farin/SolMutator/contracts/checkedExample.sol,ILR,402,403,17,17,1,2,live,1234
m5c3ba139,/home/farin/SolMutator/contracts/checkedExample.sol,OLFD,166,222,7,9,function increment() public {        _value += 1;    },,live,1162
m35850fc5,/home/farin/SolMutator/contracts/checkedExample.sol,OLFD,330,420,15,19,function increment() public {        unchecked {            _value += 1;        }    },,live,1144
m0b2a3a61,/home/farin/SolMutator/contracts/checkedExample.sol,VVR,91,117,5,5,uint256 private _value = 0,uint256 public _value = 0,live,1202
m5eabd4df,/home/farin/SolMutator/contracts/checkedExample.sol,VVR,91,117,5,5,uint256 private _value = 0,uint256 internal _value = 0,live,1161
m2ba794b6,/home/farin/SolMutator/contracts/checkedExample.sol,VVR,255,281,13,13,uint256 private _value = 0,uint256 public _value = 0,live,1154
m9eea7a17,/home/farin/SolMutator/contracts/checkedExample.sol,VVR,255,281,13,13,uint256 private _value = 0,uint256 internal _value = 0,live,1156
m339da71a,/home/farin/SolMutator/contracts/DataLoggingExample.sol,EED,400,428,15,15,emit ValueUpdated(newValue);,/* emit ValueUpdated(newValue); */,live,1174
m6e908b55,/home/farin/SolMutator/contracts/DataLoggingExample.sol,FVR,209,257,10,10,"function updateValue(uint256 newValue) external ","function updateValue(uint256 newValue) public ",live,1169
m0d84e28f,/home/farin/SolMutator/contracts/DataLoggingExample.sol,FVR,209,257,10,10,"function updateValue(uint256 newValue) external ","function updateValue(uint256 newValue) internal ",live,1164
m5acb4341,/home/farin/SolMutator/contracts/DataLoggingExample.sol,FVR,209,257,10,10,"function updateValue(uint256 newValue) external ","function updateValue(uint256 newValue) private ",live,1204
me8e0e3ca,/home/farin/SolMutator/contracts/DataLoggingExample.sol,FVR,440,498,18,18,"function getStoredValue() external view returns (uint256) ","function getStoredValue() public view returns (uint256) ",live,1170
m87f78d3a,/home/farin/SolMutator/contracts/DataLoggingExample.sol,FVR,440,498,18,18,"function getStoredValue() external view returns (uint256) ","function getStoredValue() internal view returns (uint256) ",live,1151
m187d5a75,/home/farin/SolMutator/contracts/DataLoggingExample.sol,FVR,440,498,18,18,"function getStoredValue() external view returns (uint256) ","function getStoredValue() private view returns (uint256) ",live,1162
m9edee18b,/home/farin/SolMutator/contracts/DataLoggingExample.sol,RSD,553,572,20,20,return storedValue;,/* return storedValue; */,live,1156
m59bb3e4b,/home/farin/SolMutator/contracts/DataLoggingExample.sol,VVR,89,115,5,5,uint256 public storedValue,uint256 internal storedValue,live,1146
